player_name,archetype_magicgg,mainboard,sideboard
Alex Friedrichsen,Mono-Green Landfall,4 Ba Sing Se; 4 Badgermole Cub; 4 Earthbender Ascension; 2 Dragon Sniper; 4 Escape Tunnel; 4 Esper Origins; 4 Fabled Passage; 13 Forest; 4 Icetill Explorer; 4 Llanowar Elves; 4 Meltstrider's Resolve; 4 Mightform Harmonizer; 1 Cavern of Souls; 4 Sazh's Chocobo,1 Cavern of Souls; 4 Mossborn Hydra; 2 Royal Treatment; 3 Soul-Guide Lantern; 2 Sapling Nursery; 1 Pawpatch Formation; 1 Edge Rover; 1 Archdruid's Charm
Paul Gabat,Golgari Kona,"3 Zuko's Conviction; 1 Valgavoth, Terror Eater; 1 Armaggon, Future Shark; 3 Dina's Guidance; 2 Forest; 2 Archdruid's Charm; 4 Starting Town; 2 Harvester of Misery; 3 Bitter Triumph; 4 Kona, Rescue Beastie; 4 Wastewood Verge; 2 Blooming Marsh; 4 Overgrown Tomb; 4 Requiting Hex; 4 Vaultborn Tyrant; 4 Evendo, Waking Haven; 4 Susur Secundi, Void Altar; 1 Ghalta, Stampede Tyrant; 3 Deep-Cavern Bat; 2 Withering Curse; 2 Overlord of the Balemurk; 1 Summon: Bahamut",3 Torpor Orb; 3 Keen-Eyed Curator; 2 Duress; 1 Absolute Virtue; 3 Overlord of the Hauntwoods; 3 Frenzied Baloth
Carlo De Gaetano,Izzet Lessons,6 Island; 4 Gran-Gran; 4 Stormchaser's Talent; 4 Boomerang Basics; 1 Agna Qel'a; 4 Combustion Technique; 1 Mountain; 1 Iroh's Demonstration; 2 Multiversal Passage; 4 Firebending Lesson; 4 Monument to Endurance; 4 Accumulate Wisdom; 4 Abandon Attachments; 4 Riverpyre Verge; 1 It'll Quench Ya!; 4 Artist's Talent; 4 Steam Vents; 4 Spirebluff Canal,"1 Disdainful Stroke; 1 Flashfreeze; 1 Wan Shi Tong, Librarian; 1 Slagstorm; 1 Impractical Joke; 2 Spell Pierce; 2 Annul; 2 Ral, Crackling Wit; 2 Quantum Riddler; 2 Broadside Barrage"
Gregorio Galeotti,Izzet Spellementals,2 Sear; 4 Sunderflock; 6 Island; 4 Eddymurk Crab; 4 Opt; 2 Spell Pierce; 4 Hearth Elemental; 4 Burst Lightning; 4 Traumatic Critique; 2 Stormcarved Coast; 4 Riverpyre Verge; 4 Prismari Charm; 4 Steam Vents; 4 Spirebluff Canal; 2 Get Out; 4 Sleight of Hand; 2 Winternight Stories,"2 Disdainful Stroke; 2 Spell Snare; 1 Emeritus of Ideation; 1 Ral, Crackling Wit; 4 Colorstorm Stallion; 3 Ghost Vacuum; 2 Broadside Barrage"
Steve Gan,Izzet Spellementals,4 Sunderflock; 6 Island; 4 Eddymurk Crab; 4 Opt; 4 Burst Lightning; 4 Traumatic Critique; 2 Get Out; 4 Winternight Stories; 2 Multiversal Passage; 1 Spell Snare; 1 Spell Pierce; 4 Hearth Elemental; 4 Riverpyre Verge; 4 Prismari Charm; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,4 Colorstorm Stallion; 2 Get Out; 1 Impractical Joke; 2 Annul; 3 Soul-Guide Lantern; 1 Spell Pierce; 1 Spell Snare; 1 Broadside Barrage
Sergio Garcia,Selesnya Landfall,"3 Ba Sing Se; 4 Badgermole Cub; 2 Bushwhack; 2 Dyadrine, Synthesis Amalgam; 4 Earthbender Ascension; 4 Erode; 3 Escape Tunnel; 4 Fabled Passage; 7 Forest; 4 Hushwood Verge; 1 Icetill Explorer; 1 Keen-Eyed Curator; 4 Llanowar Elves; 2 Lumbering Worldwagon; 4 Mightform Harmonizer; 1 Mossborn Hydra; 2 Plains; 4 Sazh's Chocobo; 2 Surrak, Elusive Hunter; 2 Temple Garden","1 Kutzil, Malamet Exemplar; 3 Mossborn Hydra; 3 Rest in Peace; 4 Sheltered by Ghosts; 3 Snakeskin Veil; 1 Surrak, Elusive Hunter"
Andy Garcia-Romo,Mono-Green Landfall,1 Promising Vein; 4 Earthbender Ascension; 4 Mightform Harmonizer; 4 Meltstrider's Resolve; 4 Esper Origins; 4 Escape Tunnel; 2 Sapling Nursery; 4 Sazh's Chocobo; 3 Ba Sing Se; 4 Icetill Explorer; 4 Llanowar Elves; 4 Badgermole Cub; 4 Fabled Passage; 14 Forest,"3 Surrak, Elusive Hunter; 2 Pawpatch Formation; 2 Royal Treatment; 1 Glorious Decay; 3 Soul-Guide Lantern; 4 Mossborn Hydra"
Albert Queralt Garriga,Izzet Prowess,8 Island; 4 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 1 Stormcarved Coast; 4 Boomerang Basics; 2 Get Out; 1 Roaring Furnace // Steaming Sauna; 4 Flow State; 2 Spell Pierce; 2 Prismari Charm; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 4 Slickshot Show-Off,"1 Flashfreeze; 1 Wan Shi Tong, Librarian; 1 Annul; 1 Slagstorm; 1 Impractical Joke; 1 Sear; 2 Ghost Vacuum; 1 Roaring Furnace // Steaming Sauna; 2 Ral, Crackling Wit; 1 Soul-Guide Lantern; 2 Broadside Barrage; 1 Negate"
Ryan Gassaway,Izzet Prowess,7 Island; 4 Eddymurk Crab; 4 Opt; 1 Traumatic Critique; 4 Stormchaser's Talent; 4 Burst Lightning; 2 Stormcarved Coast; 3 Boomerang Basics; 3 Colorstorm Stallion; 2 Get Out; 2 Roaring Furnace // Steaming Sauna; 4 Flow State; 2 Spell Pierce; 1 Stock Up; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 1 Vibrant Outburst,1 Annul; 1 Slagstorm; 1 Get Out; 1 Torpor Orb; 1 Impractical Joke; 1 Sear; 1 Spider-Sense; 2 Soul-Guide Lantern; 1 Spell Pierce; 2 Broadside Barrage; 1 Negate; 2 Sunderflock
Haven Gilbert-Avila,Izzet Spellementals,4 Sunderflock; 6 Island; 4 Eddymurk Crab; 4 Opt; 4 Burst Lightning; 4 Traumatic Critique; 2 Get Out; 4 Winternight Stories; 2 Multiversal Passage; 1 Spell Snare; 1 Spell Pierce; 4 Hearth Elemental; 4 Riverpyre Verge; 4 Prismari Charm; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,4 Colorstorm Stallion; 2 Get Out; 1 Impractical Joke; 2 Annul; 3 Soul-Guide Lantern; 1 Spell Pierce; 1 Spell Snare; 1 Broadside Barrage
Luis Gobern,Dimir Excruciator,3 Bitter Triumph; 10 Swamp; 2 Day of Black Sun; 1 Deadly Cover-Up; 4 Gloomlake Verge; 3 Duress; 2 Emeritus of Ideation; 4 Doomsday Excruciator; 4 Requiting Hex; 4 Restless Reef; 2 Stock Up; 2 Strategic Betrayal; 4 Deceit; 2 Undercity Sewers; 2 Cavern of Souls; 3 Winternight Stories; 4 Watery Grave; 4 Superior Spider-Man,1 Decorum Dissertation; 3 Oildeep Gearhulk; 1 Duress; 1 Day of Black Sun; 1 Deadly Cover-Up; 1 Disdainful Stroke; 2 Qarsi Revenant; 2 Flashfreeze; 1 Strategic Betrayal; 1 The End; 1 Long Goodbye
Daniel Goetschel,Izzet Lessons,2 Multiversal Passage; 4 Firebending Lesson; 6 Island; 4 Gran-Gran; 4 Monument to Endurance; 4 Stormchaser's Talent; 4 Accumulate Wisdom; 4 Abandon Attachments; 2 It'll Quench Ya!; 4 Riverpyre Verge; 4 Artist's Talent; 4 Steam Vents; 4 Boomerang Basics; 2 Agna Qel'a; 4 Spirebluff Canal; 4 Combustion Technique,"3 Spell Pierce; 2 Annul; 3 Ral, Crackling Wit; 2 Slagstorm; 2 Soul-Guide Lantern; 1 It'll Quench Ya!; 2 Broadside Barrage"
Jaime Gonzalo,Jeskai Control,1 Mistrise Village; 1 Traumatic Critique; 1 Stormcarved Coast; 2 Pyroclasm; 4 Thunder Magic; 2 Flashback; 4 Great Hall of the Biblioplex; 4 Consult the Star Charts; 2 Hallowed Fountain; 4 Jeskai Revelation; 2 Sundown Pass; 1 Impractical Joke; 3 Island; 3 Mountain; 2 Sear; 1 Into the Flood Maw; 4 Stock Up; 4 Riverpyre Verge; 4 Tablet of Discovery; 4 Steam Vents; 1 Essence Scatter; 2 Broadside Barrage; 2 Swallowed by Leviathan; 2 Petrified Hamlet,1 Disdainful Stroke; 1 Annul; 1 Slagstorm; 1 Impractical Joke; 2 Spell Pierce; 3 Emeritus of Ideation; 3 Flashfreeze; 1 Petrified Hamlet; 1 Erode; 1 Broadside Barrage
Paul Green,Mono-Green Landfall,3 Ba Sing Se; 4 Badgermole Cub; 4 Earthbender Ascension; 4 Escape Tunnel; 4 Esper Origins; 4 Fabled Passage; 14 Forest; 4 Icetill Explorer; 4 Llanowar Elves; 4 Meltstrider's Resolve; 4 Mightform Harmonizer; 1 Promising Vein; 2 Sapling Nursery; 4 Sazh's Chocobo,"2 Pawpatch Formation; 4 Mossborn Hydra; 3 Surrak, Elusive Hunter; 3 Soul-Guide Lantern; 2 Royal Treatment; 1 Glorious Decay"
Jonny Guttman,Mono-Green Landfall,1 Cavern of Souls; 4 Earthbender Ascension; 4 Mightform Harmonizer; 4 Esper Origins; 4 Meltstrider's Resolve; 4 Escape Tunnel; 2 Dragon Sniper; 4 Sazh's Chocobo; 4 Ba Sing Se; 4 Icetill Explorer; 4 Llanowar Elves; 4 Badgermole Cub; 4 Fabled Passage; 13 Forest,1 Pawpatch Formation; 1 Cavern of Souls; 2 Royal Treatment; 3 Soul-Guide Lantern; 2 Edge Rover; 4 Mossborn Hydra; 2 Sapling Nursery
Wappa Hamada,Mono-Green Landfall,15 Forest; 4 Fabled Passage; 4 Escape Tunnel; 3 Ba Sing Se; 4 Llanowar Elves; 4 Sazh's Chocobo; 4 Badgermole Cub; 4 Keen-Eyed Curator; 4 Earthbender Ascension; 4 Icetill Explorer; 4 Mightform Harmonizer; 2 Sapling Nursery; 3 Meltstrider's Resolve; 1 Royal Treatment,"2 Sapling Nursery; 1 Meltstrider's Resolve; 4 Mossborn Hydra; 2 Origin of Metalbending; 2 Pawpatch Formation; 2 Torpor Orb; 2 Surrak, Elusive Hunter"
Masakuni Hamaguchi,Mono-Green Landfall,2 Esper Origins; 1 Promising Vein; 4 Earthbender Ascension; 4 Mightform Harmonizer; 4 Meltstrider's Resolve; 4 Escape Tunnel; 4 Keen-Eyed Curator; 4 Sazh's Chocobo; 3 Ba Sing Se; 4 Icetill Explorer; 4 Llanowar Elves; 4 Badgermole Cub; 4 Fabled Passage; 14 Forest,"2 Origin of Metalbending; 2 Surrak, Elusive Hunter; 2 Pawpatch Formation; 2 Soul-Guide Lantern; 4 Mossborn Hydra; 3 Sapling Nursery"
Shinnosuke Hando,Izzet Prowess,2 Elusive Otter; 4 Slickshot Show-Off; 3 Eddymurk Crab; 4 Opt; 4 Burst Lightning; 1 Prismari Charm; 1 Sear; 4 Boomerang Basics; 4 Sleight of Hand; 4 Flow State; 1 Stock Up; 4 Stormchaser's Talent; 6 Island; 2 Multiversal Passage; 4 Riverpyre Verge; 4 Spirebluff Canal; 4 Steam Vents; 1 Stormcarved Coast; 1 Get Out; 1 Colorstorm Stallion; 1 Impractical Joke,"1 Elusive Otter; 1 Spell Pierce; 2 Ghost Vacuum; 2 Disdainful Stroke; 1 Get Out; 1 Sear; 2 Colorstorm Stallion; 1 Slagstorm; 1 Annul; 1 Ral, Crackling Wit; 1 Roaring Furnace // Steaming Sauna; 1 Soul-Guide Lantern"
Koki Hara,Bant Rhythm,2 Mockingbird; 4 Gene Pollinator; 4 Llanowar Elves; 4 Spider Manifestation; 4 Badgermole Cub; 1 Keen-Eyed Curator; 2 Brightglass Gearhulk; 2 Ouroboroid; 4 Quantum Riddler; 1 Craterhoof Behemoth; 4 Nature's Rhythm; 4 Seam Rip; 1 Unable to Scream; 1 Meltstrider's Resolve; 2 Botanical Sanctum; 4 Breeding Pool; 1 Floodfarm Verge; 1 Forest; 2 Hallowed Fountain; 4 Hushwood Verge; 4 Starting Town; 4 Temple Garden,1 Get Lost; 3 Rest in Peace; 2 Disdainful Stroke; 3 Spider-Sense; 3 Sage of the Skies; 2 Wistfulness; 1 Keen-Eyed Curator
Clément Harvey,Mono-Green Landfall,3 Esper Origins; 1 Promising Vein; 4 Earthbender Ascension; 4 Mightform Harmonizer; 4 Escape Tunnel; 3 Meltstrider's Resolve; 3 Sapling Nursery; 1 Royal Treatment; 4 Sazh's Chocobo; 3 Ba Sing Se; 4 Icetill Explorer; 4 Llanowar Elves; 4 Badgermole Cub; 4 Fabled Passage; 14 Forest,2 Origin of Metalbending; 1 Meltstrider's Resolve; 2 Pawpatch Formation; 2 Torpor Orb; 3 Keen-Eyed Curator; 4 Mossborn Hydra; 1 Sapling Nursery
Takuya Hasegawa,Izzet Prowess,6 Island; 3 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 1 Stormcarved Coast; 1 Bounce Off; 4 Boomerang Basics; 2 Get Out; 2 Roaring Furnace // Steaming Sauna; 4 Flow State; 2 Multiversal Passage; 1 Spell Pierce; 1 Stock Up; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 1 Unsummon; 4 Slickshot Show-Off,"1 Eddymurk Crab; 1 Get Out; 1 Impractical Joke; 3 Ghost Vacuum; 1 Sear; 1 Roaring Furnace // Steaming Sauna; 1 Prismari Charm; 2 Ral, Crackling Wit; 1 Fire Magic; 1 Spell Pierce; 1 Negate; 1 Broadside Barrage"
Victor Hawkins,Selesnya Landfall,"4 Erode; 2 Surrak, Elusive Hunter; 2 Lumbering Worldwagon; 2 Bushwhack; 4 Earthbender Ascension; 4 Sazh's Chocobo; 7 Forest; 1 Icetill Explorer; 2 Temple Garden; 1 Keen-Eyed Curator; 4 Llanowar Elves; 4 Badgermole Cub; 4 Fabled Passage; 2 Dyadrine, Synthesis Amalgam; 4 Hushwood Verge; 4 Mightform Harmonizer; 3 Escape Tunnel; 2 Plains; 3 Ba Sing Se; 1 Mossborn Hydra","1 Surrak, Elusive Hunter; 4 Sheltered by Ghosts; 1 Kutzil, Malamet Exemplar; 3 Mossborn Hydra; 3 Rest in Peace; 3 Snakeskin Veil"
Yang He,Four-Color Control,1 Cori Mountain Monastery; 1 Elegant Parlor; 1 Thundering Falls; 1 Mistrise Village; 1 Negate; 3 Shattered Sanctum; 1 Burst Lightning; 3 Inevitable Defeat; 1 Flashback; 4 Great Hall of the Biblioplex; 4 Consult the Star Charts; 2 Get Lost; 1 Pest Control; 3 Hallowed Fountain; 3 Jeskai Revelation; 1 Mountain; 1 Island; 3 No More Lies; 1 Day of Judgment; 4 Lightning Helix; 3 Sacred Foundry; 1 Meticulous Archive; 3 Stock Up; 3 Resonating Lute; 1 Plains; 3 Steam Vents; 3 Gloomlake Verge; 1 North Wind Avatar; 2 Improvisation Capstone,1 Disdainful Stroke; 1 High Noon; 1 Flashfreeze; 1 Pest Control; 1 Torpor Orb; 1 Mathemagics; 1 Arcane Omens; 1 Emeritus of Ideation; 2 Rest in Peace; 1 Fire Magic; 1 Day of Judgment; 1 Erode; 1 Negate; 1 Clarion Conqueror
Julien Henry,Izzet Prowess,4 Boomerang Basics; 2 Secret Identity; 4 Flow State; 2 Colorstorm Stallion; 1 Impractical Joke; 2 Multiversal Passage; 4 Riverpyre Verge; 4 Slickshot Show-Off; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 7 Island; 1 Into the Flood Maw; 4 Sleight of Hand; 4 Spirebluff Canal; 4 Steam Vents; 1 Drake Hatcher; 2 Eddymurk Crab; 1 Spell Pierce; 1 Prismari Charm,"2 Annul; 1 Stock Up; 1 Ral, Crackling Wit; 2 Sear; 2 Soul-Guide Lantern; 1 Spell Pierce; 2 Get Out; 1 Disdainful Stroke; 2 Roaring Furnace // Steaming Sauna; 1 Hydro-Man, Fluid Felon"
Shaun Henry,Mono-Green Landfall,3 Esper Origins; 1 Promising Vein; 4 Earthbender Ascension; 3 Mightform Harmonizer; 4 Meltstrider's Resolve; 4 Escape Tunnel; 2 Keen-Eyed Curator; 2 Sapling Nursery; 4 Sazh's Chocobo; 3 Ba Sing Se; 4 Icetill Explorer; 4 Llanowar Elves; 4 Badgermole Cub; 4 Fabled Passage; 14 Forest,1 Torpor Orb; 1 Esper Origins; 1 Pawpatch Formation; 1 Royal Treatment; 2 Heritage Reclamation; 2 Soul-Guide Lantern; 4 Mossborn Hydra; 2 Eumidian Terrabotanist; 1 Sapling Nursery
Elijah Herr,Dimir Excruciator,3 Doomsday Excruciator; 4 Restless Reef; 4 Deceit; 2 Winternight Stories; 2 Duress; 8 Swamp; 2 Multiversal Passage; 4 Superior Spider-Man; 4 Bitter Triumph; 2 Cavern of Souls; 2 Undercity Sewers; 4 Requiting Hex; 2 Day of Black Sun; 3 Stock Up; 4 Watery Grave; 2 Strategic Betrayal; 4 Gloomlake Verge; 4 Emeritus of Ideation,1 Disdainful Stroke; 1 Strategic Betrayal; 1 Decorum Dissertation; 4 Oildeep Gearhulk; 2 Cruelclaw's Heist; 2 Duress; 2 Deadly Cover-Up; 2 Flashfreeze
Evan Higgins,Izzet Spellementals,1 Broadside Barrage; 4 Burst Lightning; 4 Eddymurk Crab; 2 Get Out; 4 Hearth Elemental; 6 Island; 2 Multiversal Passage; 4 Opt; 2 Prismari Charm; 4 Riverpyre Verge; 1 Sear; 4 Sleight of Hand; 1 Spell Pierce; 3 Spell Snare; 4 Spirebluff Canal; 4 Steam Vents; 3 Sunderflock; 4 Traumatic Critique; 3 Winternight Stories,1 Abrade; 2 Annul; 3 Colorstorm Stallion; 1 Disdainful Stroke; 2 Fire Magic; 1 Sear; 2 Soul-Guide Lantern; 2 The Legend of Kuruk; 1 Broadside Barrage
Ethan Hollen,Izzet Prowess,4 Colorstorm Stallion; 4 Eddymurk Crab; 4 Stormchaser's Talent; 4 Steam Vents; 4 Spirebluff Canal; 4 Riverpyre Verge; 1 Multiversal Passage; 8 Island; 4 Opt; 4 Sleight of Hand; 3 Flow State; 1 Broadside Barrage; 2 Vibrant Outburst; 1 Traumatic Critique; 1 Winternight Stories; 4 Boomerang Basics; 4 Burst Lightning; 1 Spell Snare; 1 Prismari Charm; 1 Spell Pierce,"2 Slagstorm; 2 Emeritus of Ideation; 2 Ral, Crackling Wit; 2 Ghost Vacuum; 2 Impractical Joke; 1 Roaring Furnace // Steaming Sauna; 1 Broadside Barrage; 1 Negate; 1 Disdainful Stroke; 1 Spell Snare"
Jude Hopkins,Izzet Lessons,4 Abandon Attachments; 4 Accumulate Wisdom; 2 Agna Qel'a; 4 Artist's Talent; 4 Combustion Technique; 4 Firebending Lesson; 4 Gran-Gran; 2 Impractical Joke; 2 Iroh's Demonstration; 4 Island; 4 It'll Quench Ya!; 4 Monument to Endurance; 2 Mountain; 4 Riverpyre Verge; 4 Spirebluff Canal; 4 Steam Vents; 2 Stormcarved Coast; 2 Three Steps Ahead,"2 Ral, Crackling Wit; 2 Iroh's Demonstration; 4 Price of Freedom; 2 Quantum Riddler; 2 Soul-Guide Lantern; 1 Torpor Orb; 2 Negate"
Masataka Hori,Izzet Prowess,4 Colorstorm Stallion; 3 Flow State; 2 Impractical Joke; 1 Prismari Charm; 4 Boomerang Basics; 3 Multiversal Passage; 4 Riverpyre Verge; 1 Get Out; 1 Spell Pierce; 1 Roaring Furnace // Steaming Sauna; 3 Burst Lightning; 4 Spirebluff Canal; 7 Island; 4 Stormchaser's Talent; 4 Sleight of Hand; 3 Eddymurk Crab; 4 Steam Vents; 1 Bounce Off; 4 Opt; 2 Stock Up,"3 Sunderflock; 1 Abrade; 1 Spell Pierce; 1 Get Out; 2 Broadside Barrage; 1 Disdainful Stroke; 2 Ral, Crackling Wit; 1 Slagstorm; 2 Ghost Vacuum; 1 Stock Up"
Yuta Hori,Izzet Prowess,6 Island; 4 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 1 Stormcarved Coast; 4 Boomerang Basics; 3 Colorstorm Stallion; 1 Get Out; 4 Flow State; 1 Impractical Joke; 2 Multiversal Passage; 2 Slickshot Show-Off; 2 Spell Pierce; 2 Prismari Charm; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,"1 Disdainful Stroke; 1 Annul; 1 Impractical Joke; 1 Sear; 1 Ghost Vacuum; 1 Roaring Furnace // Steaming Sauna; 1 Emeritus of Ideation; 1 Ral, Crackling Wit; 2 Soul-Guide Lantern; 1 Fire Magic; 1 Spell Snare; 1 Negate; 1 Broadside Barrage; 1 Sunderflock"
Yuya Hosokawa,Izzet Lessons,7 Island; 4 Gran-Gran; 1 Three Steps Ahead; 1 Agna Qel'a; 4 Combustion Technique; 2 Multiversal Passage; 2 Spell Snare; 2 Iroh's Demonstration; 4 Firebending Lesson; 4 Monument to Endurance; 2 Spell Pierce; 4 Accumulate Wisdom; 4 Abandon Attachments; 4 Riverpyre Verge; 2 It'll Quench Ya!; 4 Artist's Talent; 4 Steam Vents; 4 Spirebluff Canal; 1 Emeritus of Ideation,"1 Essence Scatter; 4 Price of Freedom; 1 Slagstorm; 2 Ghost Vacuum; 1 Iroh's Demonstration; 2 Ral, Crackling Wit; 1 Emeritus of Ideation; 2 Flashfreeze; 1 Broadside Barrage"
Manato Hosomi,Izzet Prowess,7 Island; 4 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 1 Stormcarved Coast; 1 Bounce Off; 4 Boomerang Basics; 2 Colorstorm Stallion; 2 Get Out; 1 Roaring Furnace // Steaming Sauna; 4 Flow State; 1 Multiversal Passage; 3 Slickshot Show-Off; 1 Stock Up; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 1 Unsummon,"1 Disdainful Stroke; 2 Elusive Otter; 1 Annul; 1 Slagstorm; 1 Colorstorm Stallion; 2 Ghost Vacuum; 2 Spell Pierce; 1 Slickshot Show-Off; 2 Ral, Crackling Wit; 1 Sunderflock; 1 Broadside Barrage"
Brendan Hsu,Golgari Midrange,1 Restless Cottage; 3 Swamp; 3 Forest; 2 Firdoch Core; 1 Long Goodbye; 3 Keen-Eyed Curator; 1 Underground Mortuary; 4 Llanowar Elves; 4 Badgermole Cub; 3 Duress; 2 Emeritus of Abundance; 4 Blooming Marsh; 1 Multiversal Passage; 4 Wastewood Verge; 2 Maelstrom Pulse; 1 Bitter Triumph; 4 Professor Dellian Fel; 4 Overgrown Tomb; 1 Shoot the Sheriff; 4 Requiting Hex; 4 Unholy Annex // Ritual Chamber; 2 Soulstone Sanctuary; 1 Strategic Betrayal; 1 Deathcap Glade,"1 Surrak, Elusive Hunter; 1 Strategic Betrayal; 1 Decorum Dissertation; 2 Intimidation Tactics; 2 Qarsi Revenant; 2 Torpor Orb; 1 Leatherhead, Swamp Stalker; 1 Duress; 1 Maelstrom Pulse; 2 Day of Black Sun; 1 Heritage Reclamation"
Nathan Hu,Jeskai Control,2 Flashback; 1 Plains; 1 Thundering Falls; 1 Negate; 2 Day of Judgment; 3 Hallowed Fountain; 4 Steam Vents; 4 Lightning Helix; 2 Sacred Foundry; 2 Floodfarm Verge; 3 Sunbillow Verge; 4 No More Lies; 4 Stock Up; 2 Get Lost; 4 Jeskai Revelation; 1 Cori Mountain Monastery; 2 Mistrise Village; 4 Consult the Star Charts; 3 Resonating Lute; 3 Great Hall of the Biblioplex; 2 Fire Magic; 1 Abrade; 2 Meticulous Archive; 1 Spell Snare; 1 Elegant Parlor; 1 Island,2 Disdainful Stroke; 2 Negate; 1 Day of Judgment; 1 Flashfreeze; 2 Rest in Peace; 2 High Noon; 1 Abrade; 2 Torpor Orb; 1 Get Lost; 1 The Unagi of Kyoshi Island
Alan Hubbard,Simic Rhythm,1 Craterhoof Behemoth; 4 Botanical Sanctum; 4 Willowrush Verge; 2 Mockingbird; 3 Keen-Eyed Curator; 4 Llanowar Elves; 6 Forest; 4 Badgermole Cub; 4 Gene Pollinator; 4 Breeding Pool; 4 Nature's Rhythm; 4 Multiversal Passage; 2 Meltstrider's Resolve; 1 Royal Treatment; 4 Spider Manifestation; 4 Ouroboroid; 4 Quantum Riddler; 1 Marang River Regent,"2 Surrak, Elusive Hunter; 2 Origin of Metalbending; 1 Unsummon; 1 Keen-Eyed Curator; 2 Oko, Lorwyn Liege; 1 Ba Sing Se; 2 Unable to Scream; 2 Spider-Sense; 1 Disdainful Stroke; 1 Emeritus of Ideation"
Arne Huschenbeth,Mono-Green Landfall,3 Ba Sing Se; 4 Badgermole Cub; 4 Earthbender Ascension; 4 Escape Tunnel; 4 Esper Origins; 4 Fabled Passage; 14 Forest; 4 Icetill Explorer; 4 Llanowar Elves; 4 Meltstrider's Resolve; 4 Mightform Harmonizer; 1 Cavern of Souls; 4 Sazh's Chocobo; 1 Dragon Sniper; 1 Edge Rover,3 Soul-Guide Lantern; 4 Mossborn Hydra; 2 Royal Treatment; 2 Sapling Nursery; 2 Pawpatch Formation; 2 Edge Rover
Yuuki Ichikawa,Izzet Spellementals,4 Burst Lightning; 2 Get Out; 4 Traumatic Critique; 4 Sleight of Hand; 4 Opt; 3 Winternight Stories; 4 Prismari Charm; 4 Hearth Elemental; 4 Sunderflock; 4 Eddymurk Crab; 2 Thundering Falls; 1 Great Hall of the Biblioplex; 4 Island; 4 Riverpyre Verge; 4 Spirebluff Canal; 4 Steam Vents; 2 Three Steps Ahead; 1 Multiversal Passage; 1 Spell Snare,"2 Hydro-Man, Fluid Felon; 1 Broadside Barrage; 1 Soul-Guide Lantern; 2 Annul; 1 Spell Snare; 1 Disdainful Stroke; 4 Colorstorm Stallion; 1 Cavern of Souls; 1 Ghost Vacuum; 1 Ill-Timed Explosion"
David Inglis,Mono-Green Landfall,4 Escape Tunnel; 4 Fabled Passage; 13 Forest; 4 Icetill Explorer; 4 Llanowar Elves; 4 Earthbender Ascension; 4 Mightform Harmonizer; 4 Sazh's Chocobo; 4 Esper Origins; 4 Meltstrider's Resolve; 4 Ba Sing Se; 4 Badgermole Cub; 1 Cavern of Souls; 2 Dragon Sniper,1 Cavern of Souls; 4 Mossborn Hydra; 1 Pawpatch Formation; 2 Royal Treatment; 2 Sapling Nursery; 2 Edge Rover; 3 Soul-Guide Lantern
Toru Inoue,Izzet Spellementals,2 Thundering Falls; 4 Sunderflock; 4 Eddymurk Crab; 4 Opt; 2 Three Steps Ahead; 4 Burst Lightning; 4 Traumatic Critique; 1 Great Hall of the Biblioplex; 2 Get Out; 3 Winternight Stories; 4 Island; 1 Multiversal Passage; 1 Spell Snare; 4 Hearth Elemental; 4 Riverpyre Verge; 4 Prismari Charm; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,"1 Disdainful Stroke; 2 Hydro-Man, Fluid Felon; 4 Colorstorm Stallion; 1 Ghost Vacuum; 1 Ill-Timed Explosion; 1 Cavern of Souls; 2 Annul; 1 Soul-Guide Lantern; 1 Spell Snare; 1 Broadside Barrage"
